product_title,product_image,pack_size,price_per_unit,price
Forresters Sensations Wasabi Peanuts 240g,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_ALN3635_LTO_W44_1x1_228x128__887448a0aa.jpg,240g,$12.46 per kg,2.99
Forresters Sensations Savoury Mixed Nuts 150g,https://www.aldi.com.au/fileadmin/_processed_/c/8/csm_ALN3635_LTO_W44_1x1_228x128_2_3b35ab5234.jpg,ea,$19.93 per kg,2.99
Forresters Pistachio Kernels 80g,https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_ALN3635_LTO_W44_1x1_228x128_3_f9d6602675.jpg,80g,$43.63 per kg,3.49
Forresters Honey Roasted Macadamias 400g,https://www.aldi.com.au/fileadmin/_processed_/8/0/csm_ALN3635_LTO_W44_1x1_228x128_4_edd2037491.jpg,400g,$34.98 per kg,13.99
French Fries 175g,https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_ALN3635_LTO_W44_1x1_228x128_5_046f52b1e9.jpg,175g,$1.42 per 100g,2.49
Parker's Pretzel Minis 6pk/150g,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_ALN3635_LTO_W44_1x1_228x128_6_d2d51422e4.jpg,6pk,$1.66 per 100g,2.49
Harvest Snaps 200g,https://www.aldi.com.au/fileadmin/_processed_/8/8/csm_ALN3635_LTO_W44_1x1_228x128_7_bbc0db69a0.jpg,200g,$2.50 per 100g,4.99
Jumpy's Chicken Snacks 6pk/108g,https://www.aldi.com.au/fileadmin/_processed_/7/4/csm_ALN3635_LTO_W44_1x1_228x128_8_7b53e15a0f.jpg,6pk,$2.77 per 100g,2.99
Delicious Destinations Novelty Shaped Bath Bombs 150g,https://www.aldi.com.au/fileadmin/_processed_/4/5/csm_ALN3635_LTO_W44_1x1_228x128_9_027e9afd29.jpg,ea,$2.66 per 100g,3.99
Olay Complete Sensitive Lotion SPF15 150ml,https://www.aldi.com.au/fileadmin/_processed_/f/d/csm_ALN3635_LTO_W44_1x1_228x128_10_26a5918f6e.jpg,150ml,$6.66 per 100ml,9.99
Nivea Biodegradeable Cleansing Wipes 25pk,https://www.aldi.com.au/fileadmin/_processed_/1/9/csm_ALN3635_LTO_W44_1x1_228x128_11_1e66c2b984.jpg,25pk,20c per wipe,4.99
Nivea Soft All Purpose Cream 300ml,https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_ALN3635_LTO_W44_1x1_228x128_12_282df83bd6.jpg,300ml,$2.66 per 100ml,7.99
Head and Shoulders Anti Dandruff Shampoo 250ml,https://www.aldi.com.au/fileadmin/_processed_/d/7/csm_ALN3635_LTO_W44_1x1_228x128_13_a141376561.jpg,ea,$2.40 per 100ml,5.99
Schwarzkopf Pastels Live Semi-Permanent Hair Colour 30ml,https://www.aldi.com.au/fileadmin/_processed_/b/5/csm_ALN3635_LTO_W44_1x1_228x128_14_b847158ff3.jpg,30ml,$15.97 per 100ml,4.79
Garnier Micellar Cleansing Water 200ml,https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_ALN3635_LTO_W44_1x1_228x128_15_59a10e956a.jpg,200ml,$2.50 per 100ml,4.99
Garnier BB Cream 50ml,https://www.aldi.com.au/fileadmin/_processed_/3/d/csm_ALN3635_LTO_W44_1x1_228x128_16_320d4ad096.jpg,50ml,$19.98 per 100ml,9.99
Gillette Venus Simply 3 Blade Disposable Razors 3pk,https://www.aldi.com.au/fileadmin/_processed_/3/b/csm_ALN3635_LTO_W44_1x1_228x128_17_3b6cec1eb1.jpg,3pk,$1.33 per razor,3.99
Colway Marinades 375g,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN3635_LTO_W42_1x1_228x128__feed1881b5.jpg,375g,53c per 100g,1.99
Masterfoods Relish or Chutney 250g,https://www.aldi.com.au/fileadmin/_processed_/e/1/csm_ALN3635_LTO_W42_1x1_228x128_2_18e1cde5bb.jpg,250g,$1.20 per 100g,2.99
Mcilhenny Co Tabasco Sauce 60ml,https://www.aldi.com.au/fileadmin/_processed_/1/9/csm_ALN3635_LTO_W42_1x1_228x128_3_f1c69b4c44.jpg,60ml,$6.65 per 100ml,3.99
Masterfoods Mild American Mustard 250g,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_ALN3635_LTO_W42_1x1_228x128_4_c13f394814.jpg,250g,$1.20 per 100g,2.99
Masterfoods Hot Chilli Sauce 250ml,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN3635_LTO_W42_1x1_228x128_5_f71abe5378.jpg,250ml,92c per 100ml,2.29
Colway Worcestershire Sauce 250ml,https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_ALN3635_LTO_W42_1x1_228x128_6_1b44922a72.jpg,250ml,80c per 100ml,1.99
Praise Flavoured Mayonnaise 250ml,https://www.aldi.com.au/fileadmin/_processed_/9/6/csm_ALN3635_LTO_W42_1x1_228x128_7_667989fd62.jpg,250ml,$1.20 per 100ml,2.99
World Kitchen Chicken Thigh with Chat Potatoes Meal 350g,https://www.aldi.com.au/fileadmin/_processed_/b/5/csm_ALN3635_LTO_W42_1x1_228x128_8_883812dc34.jpg,350g,$2.28 per 100g,7.99
World Kitchen Tomato Vodka Pasta Sauce 250g,https://www.aldi.com.au/fileadmin/_processed_/c/5/csm_ALN3635_LTO_W42_1x1_228x128_9_e9adfe0c77.jpg,250g,$1.40 per 100g,3.49
World Kitchen Roast Duck Ravioli 350g,https://www.aldi.com.au/fileadmin/_processed_/0/1/csm_ALN3635_LTO_W42_1x1_228x128_10_54bfa34495.jpg,350g,$1.43 per 100g,4.99
World Kitchen Beef Tortellini Mexican Style 625g,https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_ALN3635_LTO_W42_1x1_228x128_11_01f69db76f.jpg,625g,59c per 100g,3.69
Pikt & Chopt Herb Pouches 75g,https://www.aldi.com.au/fileadmin/_processed_/9/f/csm_ALN3635_LTO_W42_1x1_228x128_12_d2125b5e2b.jpg,75g,40c per 10g,2.99
Dentitex Advanced Whitening Toothpaste,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2364-7_HEALTH_1x1_228x128__d9c1a69508.jpg,140g,$1.42 per 100g,1.99
Dentitex Sensitive Plus Whitening Toothpaste,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_ALN2364-7_HEALTH_1x1_228x128_5_684b45adc5.jpg,,$4.08 per 100g,4.49
Dentitex Interdental Pro Toothbrush 2pk,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_HEALTH_1x1_228x128_4_5cb4d06f7a.jpg,2pk,95c per unit,1.89
Dentitex Orbit Toothbrush 2pk,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_ALN2364-7_HEALTH_1x1_228x128_3_e4b1c3337d.jpg,2pk,$1.65 per unit,3.29
Dentitex Mouthwash 1L Ultra Fresh or Tartar Control 1L,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN3498_AUG_SSV_DIGITAL_1x1_228x128_31_545b9de1d2.jpg,1L,42c per 100ml,4.19
Dentitex Mouthwash 500ml,https://www.aldi.com.au/fileadmin/_processed_/7/1/csm_ALN3510_Q3_HEALTH_1x1_228x128_2_ccb4337aa7.jpg,500ml,70c per ml,3.49
Essential Health Paw Paw Ointment,https://www.aldi.com.au/fileadmin/_processed_/9/0/csm_ALN2364-7_HEALTH_1x1_228x128_6_678cce7213.jpg,ea,$9.56 per 100g,2.39
Essential Health Eucalyptus Oil 100ml,https://www.aldi.com.au/fileadmin/_processed_/f/b/csm_ALN3510_Q3_HEALTH_1x1_228x128_3_7dad452a16.jpg,100ml,$6.99 per 100ml,6.99
Hedafen Ibuprofen 24pk,https://www.aldi.com.au/fileadmin/_processed_/e/e/csm_ALN2364-7_HEALTH_1x1_228x128_7_5e19cb1d8b.jpg,24pk,6c per tablet,1.49
Hedafen Ibuprofen Liquid Gel Capsules 20pk,https://www.aldi.com.au/fileadmin/_processed_/0/8/csm_ALN3612_1x1_SSV-OCT-B2_228x128_30_bc76a15943.jpg,20pk,12c per capsule,2.39
Hedanol Paracetamol Capsule Shaped Tablets 20pk,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN2364-7_HEALTH_1x1_228x128_9_c613cd50e7.jpg,,4c per tablet,0.75
Essential Health Effervescents 15pk,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN2364-7_HEALTH_1x1_228x128_10_586cc47052.jpg,ea,30c per tablet,4.49
Essential Health Electrolytes 20pk,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2853_HEALTH_1x1_228x128__9c3f4c0792.jpg,20pk,27c per tablet,5.49
Essential Health First Aid Strips Plastic 100pk or Fabric 50pk,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN3498_AUG_SSV_DIGITAL_1x1_228x128_33_651ac07fad.jpg,ea,2c-4c per strip,1.99
Essential Health Meal Replacement Shake 55g,https://www.aldi.com.au/fileadmin/_processed_/0/e/csm_ALN2364-7_HEALTH_1x1_228x128_12_2e957e4443.jpg,ea,$3.62 per 100g,1.99
Essential Health Protein Bar 30g,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN2364-7_HEALTH_1x1_228x128_13_8e8f2dd529.jpg,ea,$4.97 per 100g,1.49
Onset Chocolate Protein Bars 51g-57g,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN2853_HEALTH_1x1_228x128_3_2bdeaaea03.jpg,51g-57g,$5.86-$5.25 per 100g,2.99
Essential Health Meal Replacement Bar 55g,https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_ALN3571_SEP_SSV_DIGITAL__B1__1x1_228x128_17_1eb47281b1.jpg,ea,$4.53 per 100g,2.49
Oh So Natural Cashew Spread 240g,https://www.aldi.com.au/fileadmin/_processed_/0/0/csm_ALN3478_NEW__B4__1x1_228x128__2cc1a1cfb2.jpg,,$2.08 per 100g,4.99
Westcliff Lime Cordial 1L,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_ALN3478_NEW__B4__1x1_228x128_2_0272aa9b77.jpg,,$1.99 per litre,1.99
Westcliff Assorted No Added Sugar Cordials 1L,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_ALN3478_NEW__B4__1x1_228x128_3_df76593021.jpg,ea,$2.49 per litre,2.49
Natural Elements Pet Nutrition Dog Food Roll 1.4kg,https://www.aldi.com.au/fileadmin/_processed_/5/6/csm_ALN3478_NEW__B4__1x1_228x128_4_07622cbe91.jpg,,29c per 100g,3.99
Yoguri High Protein Salted Caramel Yogurt 160g,https://www.aldi.com.au/fileadmin/_processed_/0/7/csm_ALN3478_NEW__B4__1x1_228x128_5_e025626679.jpg,,$1.12 per 100g,1.79
Urban Eats Punjabi Samosa 6pk/500g,https://www.aldi.com.au/fileadmin/_processed_/c/c/csm_ALN3478_NEW__B4__1x1_228x128_6_7273eb3f1a.jpg,6pk,$1.00 per 100g,4.99
Emporium Selection Ricotta in a Basket 500g,https://www.aldi.com.au/fileadmin/_processed_/c/2/csm_ALN3478_NEW__B4__1x1_228x128_7_c20f062f5b.jpg,,$9.98 per kg,4.99
Urban Eats Dumplings Family Pack 20pk/625g,https://www.aldi.com.au/fileadmin/_processed_/b/9/csm_ALN3478-2_NEW__B2__1x1_228x128__bfd0766859.jpg,,$1.60 per 100g,9.99
Urban Eats Bao Buns 8pk/256g,https://www.aldi.com.au/fileadmin/_processed_/5/8/csm_ALN3478-2_NEW__B2__1x1_228x128_2_0226d51210.jpg,,$1.44 per 100g,3.69
Forresters Roasted & Salted Peanuts 750g,https://www.aldi.com.au/fileadmin/_processed_/f/7/csm_ALN3478-2_NEW__B2__1x1_228x128_4_160733d980.jpg,,40c per 100g,2.99
Deli Originals Fresh Garlic Dip 200g,https://www.aldi.com.au/fileadmin/_processed_/a/a/csm_ALN3478-2_NEW__B3__1x1_228x128__2a8e95d82a.jpg,,$1.40 per 100g,2.79
Lodge Farms Large Free Range Eggs 18pk/900g,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN3478-2_NEW__B3__1x1_228x128_2_f843e15ba9.jpg,,61c per 100g,5.49
Cachet Gourmet Cat Food Fish 85g,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN3478-2_NEW__B3__1x1_228x128_5_3bf31854bf.jpg,,93c per 100g,0.79
Choceur Cookies & Cream Chocolate Block 180g,https://www.aldi.com.au/fileadmin/_processed_/a/a/csm_ALN3478-2_NEW__B3__1x1_228x128_6_99b91817ff.jpg,,$1.11 per 100g,1.99
Choceur Peanut & Crunchy Flakes Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_ALN3478-2_NEW__B3__1x1_228x128_7_9d3333b67b.jpg,,$1.00 per 100g,1.99
Just Organic Coconut Flakes 140g/200g,https://www.aldi.com.au/fileadmin/_processed_/1/6/csm_ALN3401-21_REDUCTIONS_FUTURE-PRICE-_RND21__1x1_228x128_1_7867d50243.jpg,ea,$24.22 - $16.95 per kg,3.39
Tibaldi Maple Cured Streaky Bacon 200g,https://www.aldi.com.au/fileadmin/_processed_/f/1/csm_W46_SUPER_SAVERS_MEAT_1x1__5ee7ec45de.jpg,200g,$19.95 per kg,3.99
"Ready, Set…Cook! Free Range Marinated Chicken Wings 500g",https://www.aldi.com.au/fileadmin/_processed_/f/c/csm_W46_SUPER_SAVERS_MEAT_1x1_2_262602e05f.jpg,500g,$11.98 per kg,5.99
KRC Pork Cordon Bleu 480g,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_W46_SUPER_SAVERS_MEAT_1x1_3_cd8e912565.jpg,480g,$18.73 per kg,8.99
Bruemar Pork Belly Bites 600g,https://www.aldi.com.au/fileadmin/_processed_/d/a/csm_W46_SUPER_SAVERS_MEAT_1x1_4_4fd8449a7f.jpg,600g,$21.65 per kg,12.99
Belmont Biscuit Co. Cookies & Crème 154g,https://www.aldi.com.au/fileadmin/_processed_/d/9/csm_ALN3478-NEW_1x1_228x128_31_36335cfc55.jpg,,64c per 100g,0.99
Power Force Anti Bac Plus Disinfectant Surface Spray 750ml,https://www.aldi.com.au/fileadmin/_processed_/2/4/csm_ALN3401-21_REDUCTIONS_FUTURE-PRICE-_RND21__1x1_228x128_2_1510cff7bb.jpg,,49c per 100ml,3.69
Killarnee Lamb Shanks per kg,https://www.aldi.com.au/fileadmin/_processed_/b/4/csm_ALN3401-20_REDUCTIONS_FUTURE-PRICE-_RND20__1x1_228x128_013f586bc5.jpg,per kg,$11.99 per kg,11.99
